cve_ent,nom_ent,cve_mun,nom_mun,cvegeo,cve_ageb,pobreza,pobreza_ext
21,Puebla,21001,Acajete,2100100010194,0194,"(50, 70)","(0, 20)"
21,Puebla,21001,Acajete,2100100010207,0207,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100010211,0211,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100010300,0300,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,210010001032A,032A,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100010334,0334,"(70, 100)","(20, 50)"
21,Puebla,21001,Acajete,2100100010387,0387,"(70, 100)","(20, 50)"
21,Puebla,21001,Acajete,2100100010476,0476,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100040122,0122,"(70, 100)","(20, 50)"
21,Puebla,21001,Acajete,2100100040141,0141,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100040419,0419,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100040423,0423,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100040599,0599,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100060353,0353,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100060438,0438,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100060442,0442,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100110226,0226,"(50, 70)","(0, 20)"
21,Puebla,21001,Acajete,2100100110230,0230,"(50, 70)","(0, 20)"
21,Puebla,21001,Acajete,2100100110298,0298,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100110508,0508,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100160264,0264,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100160368,0368,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100160457,0457,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100160461,0461,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100170531,0531,"(70, 100)","(20, 50)"
21,Puebla,21001,Acajete,2100100170546,0546,"(70, 100)","(20, 50)"
21,Puebla,21001,Acajete,2100100170550,0550,"(70, 100)","(50, 70)"
21,Puebla,21001,Acajete,2100100240620,0620,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100240635,0635,"(70, 100)","(20, 50)"
